Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
18,Randy Arozarena,31,SEA,AL,2.6,67,286,246,43,72,18,1,6,30,18,4,27,63,.293,.381,.447,.828,138,.386,145,110,7,10,0,3,0,*7/D,,arozara01
19,Iván Herrera,26,STL,NL,1.5,63,286,236,38,60,12,1,7,28,2,0,35,48,.254,.378,.403,.780,125,.359,131,95,8,13,0,2,4,D2,,herreiv01
20,Rafael Devers*,29,SFG,NL,0.1,67,285,262,30,62,20,1,8,32,0,0,20,88,.237,.291,.412,.703,101,.305,95,108,7,1,0,2,2,*3D,,deverra01
21,Bo Bichette,28,NYM,NL,-0.7,65,284,261,30,61,8,1,5,32,1,0,19,49,.234,.285,.330,.615,75,.275,69,86,8,1,0,3,0,56/D,,bichebo01
22,Shohei Ohtani*,31,LAD,NL,2.4,60,284,232,44,70,14,2,11,35,6,2,43,64,.302,.417,.522,.939,163,.408,163,121,3,5,0,3,7,*D1,,ohtansh01
23,Bryan Reynolds#,31,PIT,NL,1.6,66,284,232,42,61,13,2,6,39,5,0,46,60,.263,.391,.414,.805,125,.370,130,96,4,4,0,2,2,*79/DH,,reynobr01
24,Kyle Schwarber*,33,PHI,NL,1.8,63,284,239,40,57,9,1,23,40,1,0,41,96,.238,.359,.573,.932,152,.397,149,137,1,4,0,0,2,*D/73,,schwaky01
25,CJ Abrams*,25,WSN,NL,2.6,66,283,242,42,70,13,2,14,51,10,4,29,57,.289,.382,.533,.915,157,.397,156,129,4,9,0,3,2,*6/DH,,abramcj01
26,Willy Adames,30,SFG,NL,1.4,66,283,265,34,63,18,1,11,29,1,2,16,79,.238,.283,.438,.720,105,.321,109,116,1,1,0,1,0,*6,,adamewi01
27,Ozzie Albies#,29,ATL,NL,2.1,66,283,251,41,69,12,0,10,36,1,3,21,35,.275,.332,.442,.774,120,.334,117,111,3,4,0,7,0,*4,,albieoz01
28,Oneil Cruz*,27,PIT,NL,1.3,64,283,250,45,66,10,0,14,44,21,4,30,98,.264,.350,.472,.822,127,.379,132,118,3,3,0,0,2,*8/DH,,cruzon01
29,Luis Arraez*,29,SFG,NL,2.1,64,282,253,33,82,13,4,2,25,5,0,15,13,.324,.360,.431,.791,128,.353,127,109,4,3,4,7,3,*4/DH,,arraelu01
30,Sal Stewart,22,CIN,NL,1.1,65,282,244,35,62,13,0,12,40,10,2,35,58,.254,.348,.455,.802,120,.362,122,111,5,1,0,2,3,*35/D4,,stewasa02
31,Miguel Vargas,26,CHW,AL,2.4,64,282,231,47,56,10,1,15,41,9,1,43,49,.242,.370,.489,.859,139,.385,140,113,4,5,0,2,1,*53/DH,,vargami01
32,Xavier Edwards#,26,MIA,NL,2.7,66,280,245,41,74,11,4,6,20,11,3,34,34,.302,.387,.453,.840,140,.378,142,111,6,0,1,0,2,*4/D,,edwarxa01
33,Junior Caminero,22,TBR,AL,1.6,63,278,238,41,66,10,0,14,30,0,2,39,43,.277,.378,.496,.873,143,.380,142,118,10,0,0,1,2,*5/3,,caminju01
34,Brice Turang*,26,MIL,NL,3.0,61,278,227,52,63,13,2,10,42,11,2,47,65,.278,.399,.485,.883,147,.394,148,110,6,0,2,2,3,*4,,turanbr02
35,Christian Walker,35,HOU,AL,1.8,67,278,250,39,63,12,1,16,48,0,0,23,59,.252,.324,.500,.824,128,.365,130,125,7,4,0,1,2,*3/DH,,walkech02
36,Jo Adell,27,LAA,AL,-0.2,67,277,259,27,62,8,0,10,37,3,0,7,66,.239,.282,.386,.668,87,.298,83,100,5,9,0,2,0,*9/7D8,,adelljo01
37,Matt Chapman,33,SFG,NL,2.3,66,277,244,30,61,16,1,4,34,0,1,27,59,.250,.332,.373,.705,104,.314,103,91,6,4,0,2,1,*5/D,,chapmma01
38,Pete Crow-Armstrong*,24,CHC,NL,3.5,66,277,244,37,63,8,2,11,32,14,5,23,70,.258,.341,.443,.783,126,.346,124,108,2,8,1,1,1,*8/H,,crowape01
39,Kevin McGonigle*,21,DET,AL,3.4,63,277,237,40,69,14,3,4,24,9,0,38,36,.291,.394,.426,.820,130,.381,134,101,1,2,0,0,0,*65,,mcgonke01
40,Cody Bellinger*,30,NYY,AL,3.6,64,276,232,38,64,13,3,9,43,7,4,39,36,.276,.373,.474,.847,137,.377,139,110,2,0,0,5,0,*78/93H,,bellico01
41,Jonathan Aranda*,28,TBR,AL,0.8,63,275,226,34,61,9,0,11,45,0,0,40,68,.270,.378,.456,.834,133,.364,128,103,5,3,0,6,3,*3/DH,,arandjo01
42,Riley Greene*,25,DET,AL,1.6,66,275,239,33,73,16,0,6,29,1,1,34,76,.305,.396,.448,.844,136,.380,140,107,7,2,0,0,0,*7/DH,,greenri03
43,Shea Langeliers,28,ATH,AL,2.8,60,275,249,43,71,13,0,17,35,1,0,21,53,.285,.349,.542,.891,139,.389,138,135,4,4,0,1,1,*2D,,langesh01
44,Fernando Tatis Jr.,27,SDP,NL,0.5,64,275,242,23,65,8,1,1,19,15,7,26,59,.269,.339,.322,.662,89,.305,90,78,6,2,1,4,1,94/H,,tatisfe02
45,Freddie Freeman*,36,LAD,NL,1.7,63,274,239,33,67,15,1,10,35,2,0,31,46,.280,.361,.477,.838,134,.366,131,114,10,1,0,3,1,*3,,freemfr01
46,Vladimir Guerrero Jr.,27,TOR,AL,0.8,65,274,234,38,66,11,0,3,25,5,1,32,29,.282,.372,.368,.740,105,.337,104,86,7,4,0,4,5,*3/DH,,guerrvl02
47,Ian Happ#,31,CHC,NL,2.1,62,274,233,42,54,13,2,14,34,2,0,38,88,.232,.347,.485,.832,139,.369,142,113,5,3,0,0,3,*7/D,,happia01
48,Otto Lopez,27,MIA,NL,2.9,65,274,256,36,86,16,3,5,27,10,3,10,44,.336,.365,.480,.845,140,.379,143,123,5,4,0,4,0,*6/H,,lopezot01
49,Bryce Harper*,33,PHI,NL,1.4,66,273,230,41,60,11,1,14,37,5,2,40,51,.261,.366,.500,.866,136,.380,137,115,7,0,0,3,2,*3/D,,harpebr03
50,Brandon Nimmo*,33,TEX,AL,1.5,63,273,241,27,60,11,2,7,22,2,1,24,57,.249,.330,.398,.728,114,.323,112,96,6,6,0,2,1,*9/D8,,nimmobr01
51,Wilyer Abreu*,27,BOS,AL,2.6,63,272,245,28,68,12,1,7,29,4,1,24,53,.278,.339,.420,.760,116,.338,114,103,6,0,1,2,1,*9,,abreuwi02
52,Vinnie Pasquantino*,28,KCR,AL,0.4,63,271,236,25,52,9,2,6,29,2,0,30,48,.220,.306,.352,.658,87,.303,88,83,3,1,0,4,2,*3/H,,pasquvi01
53,JJ Wetherholt*,23,STL,NL,2.7,59,271,228,40,56,7,0,9,25,7,0,31,46,.246,.358,.395,.753,116,.346,118,90,0,10,0,2,2,*4/H,,wethejj01
54,Alec Burleson*,27,STL,NL,1.5,62,270,241,32,70,16,0,8,43,2,0,25,41,.290,.359,.456,.816,133,.357,129,110,6,2,0,2,2,*3/H,,burleal01
55,Chase Meidroth,24,CHW,AL,1.5,63,270,237,40,65,13,0,5,21,2,1,26,61,.274,.343,.392,.736,107,.329,105,93,3,0,4,2,0,*4/6H5,,meidrch01
56,Colson Montgomery*,24,CHW,AL,2.2,64,270,236,31,53,12,0,16,38,1,1,25,83,.225,.322,.479,.801,122,.347,118,113,4,9,0,0,3,*65/HD,,montgco01
57,Josh Naylor*,29,SEA,AL,0.1,62,270,245,26,64,7,0,7,30,12,3,21,36,.261,.323,.376,.699,101,.323,103,92,10,2,0,1,2,*3,,naylojo01
58,Andy Pages,25,LAD,NL,3.7,65,270,247,38,70,15,1,14,53,7,3,17,52,.283,.330,.522,.852,136,.375,138,129,5,2,0,4,0,*8/H,,pagesan01
59,William Contreras,28,MIL,NL,1.5,60,269,241,37,70,10,0,6,42,1,1,23,34,.290,.349,.407,.756,112,.336,111,98,6,1,0,4,2,*2/DH,,contrwi02
60,Austin Riley,29,ATL,NL,0.2,66,268,240,31,50,10,1,8,34,4,0,21,76,.208,.284,.358,.642,83,.296,84,86,6,5,0,2,0,*5/H,,rileyau01
61,Cole Young*,22,SEA,AL,2.2,67,268,238,28,60,10,1,4,31,2,3,20,53,.252,.322,.353,.675,95,.301,94,84,1,6,1,3,0,*4/6,,youngco01
62,Ketel Marte#,32,ARI,NL,0.8,61,267,244,37,60,11,2,11,37,0,0,20,41,.246,.300,.443,.742,105,.320,99,108,4,0,0,3,0,*4D/H,,marteke01
63,Kazuma Okamoto,30,TOR,AL,0.9,65,267,238,32,55,7,0,13,37,0,0,25,86,.231,.311,.424,.735,100,.325,97,101,4,3,0,1,0,*5/3D,,okamoka01
64,Tyler Soderstrom*,24,ATH,AL,1.5,63,267,232,29,55,17,2,10,34,1,1,33,49,.237,.333,.457,.790,113,.348,111,106,6,1,0,1,3,*7/DH,,soderty01
65,Ernie Clement,30,TOR,AL,1.5,66,265,256,31,79,19,1,7,26,2,0,8,25,.309,.328,.473,.801,118,.357,118,121,5,0,0,1,0,*46/5H,,clemeer01
66,Jakob Marsee*,25,MIA,NL,0.1,64,265,219,36,44,7,3,3,16,16,9,37,60,.201,.333,.301,.635,84,.301,92,66,1,7,1,1,0,*8/HD,,marseja01
67,Kyle Tucker*,29,LAD,NL,0.8,62,265,229,39,54,15,2,5,30,4,0,33,51,.236,.332,.384,.716,102,.327,102,88,0,1,0,2,0,*9/H,,tuckeky01
68,Jordan Walker,24,STL,NL,3.3,62,265,241,44,73,14,0,16,47,10,3,21,69,.303,.362,.560,.922,160,.410,166,135,5,2,0,1,0,*9/DH,,walkejo02
69,Corbin Carroll*,25,ARI,NL,2.9,62,264,228,41,65,15,8,10,31,7,1,32,57,.285,.375,.553,.928,157,.401,154,126,2,2,0,2,1,*9/D,,carroco02
70,Yandy Díaz,34,TBR,AL,2.2,60,263,231,33,75,11,1,12,44,1,0,23,33,.325,.399,.537,.936,160,.409,159,124,7,7,0,2,3,*D,,diazya01
71,Jarren Duran*,29,BOS,AL,0.9,59,263,240,32,50,9,2,10,33,11,0,18,76,.208,.270,.388,.657,86,.299,81,93,2,3,0,2,0,*7/8DH,,duranja01
72,Brandon Lowe*,31,PIT,NL,2.4,60,262,230,40,58,15,1,15,41,0,0,28,66,.252,.336,.522,.858,135,.375,136,120,2,2,0,2,0,*4/DH,,lowebr01
73,Aaron Judge,34,NYY,AL,2.1,59,261,214,43,53,10,0,17,38,5,3,42,72,.248,.375,.533,.907,152,.395,153,114,8,2,0,1,5,*9/D,,judgeaa01
74,Manny Machado,33,SDP,NL,-0.7,63,261,229,29,38,6,0,11,32,1,1,27,60,.166,.250,.336,.586,64,.273,68,77,6,0,1,4,1,*5/D,,machama01
75,Chase DeLauter*,24,CLE,AL,0.3,63,260,232,23,59,11,1,7,33,2,1,26,35,.254,.327,.401,.728,105,.325,102,93,6,0,0,2,0,9D/H,,delauch01
76,Steven Kwan*,28,CLE,AL,0.4,61,260,218,30,47,8,0,1,12,3,1,35,26,.216,.327,.266,.593,70,.285,74,58,5,2,3,2,1,*87,,kwanst01
77,Geraldo Perdomo#,26,ARI,NL,1.6,62,258,215,27,51,9,3,3,22,8,3,33,31,.237,.335,.349,.683,93,.313,92,75,6,1,4,5,0,*6/H,,perdoge01
78,Willson Contreras,34,BOS,AL,2.3,62,257,218,29,64,9,2,13,39,1,1,25,64,.294,.389,.532,.921,161,.398,157,116,6,11,0,3,1,*3/D,,contrwi01
79,Elly De La Cruz#,24,CIN,NL,2.2,58,257,232,40,65,13,2,12,37,10,5,22,76,.280,.346,.509,.855,133,.377,136,118,2,2,0,1,0,*6/D,,delacel01
80,Maikel Garcia,26,KCR,AL,1.6,60,257,233,29,62,15,1,3,23,4,3,22,37,.266,.327,.378,.705,100,.311,97,88,5,0,0,2,0,*5/H6D,,garcima01
81,Jackson Merrill*,23,SDP,NL,-0.1,62,257,232,27,46,11,0,6,24,10,1,22,65,.198,.271,.323,.594,68,.271,60,75,4,1,2,0,2,*8,,merrija01
82,Isaac Paredes,27,HOU,AL,1.2,62,257,224,27,54,12,0,9,33,0,0,24,42,.241,.331,.415,.746,108,.338,110,93,8,7,0,2,0,*5/3D4H,,paredis01
83,Marcus Semien,35,NYM,NL,-0.2,65,257,235,26,53,8,0,8,25,5,2,17,50,.226,.277,.362,.639,80,.291,81,85,8,1,1,3,0,*4,,semiema01
84,Salvador Perez,36,KCR,AL,-0.4,61,256,235,22,48,6,0,9,26,0,0,12,49,.204,.254,.345,.599,69,.270,66,81,8,5,0,4,1,2D/3,,perezsa02
85,Jake Burger,30,TEX,AL,0.9,63,255,236,30,56,12,0,10,38,1,0,17,68,.237,.290,.415,.705,106,.314,106,98,5,1,0,1,0,*3/H,,burgeja01
86,Ben Rice*,27,NYY,AL,2.5,60,255,217,49,66,15,2,18,45,2,0,34,60,.304,.400,.641,1.041,187,.445,185,139,5,2,0,2,3,3D/H,,ricebe01
87,Josh Bell#,33,MIN,AL,-0.5,64,254,232,31,52,12,0,6,36,1,0,18,62,.224,.283,.353,.637,77,.291,75,82,4,2,0,2,0,D3/H,,belljo02
88,Jazz Chisholm Jr.*,28,NYY,AL,0.4,62,253,226,30,52,10,1,8,25,16,4,24,72,.230,.304,.389,.694,94,.318,91,88,1,1,0,2,0,*4/HD,,chishja01
89,Josh Jung,28,TEX,AL,1.4,60,253,230,31,72,16,0,8,29,1,1,18,38,.313,.368,.487,.855,150,.378,152,112,12,3,0,2,0,*5,,jungjo01
90,Adolis García,33,PHI,NL,-0.5,65,252,225,21,45,8,1,7,21,3,0,20,80,.200,.274,.338,.612,67,.278,62,76,2,4,0,3,0,*9/H8,,garciad02
91,Hunter Goodman,26,COL,NL,1.7,60,252,227,39,55,11,0,17,31,5,2,20,85,.242,.313,.515,.829,118,.366,122,117,2,4,0,1,1,*2D/H,,goodmhu01
92,Cam Smith,23,HOU,AL,1.1,67,252,220,26,49,10,1,6,25,8,1,25,69,.223,.311,.359,.670,88,.310,87,79,5,4,0,2,0,*9/H,,smithca07
93,Xander Bogaerts,33,SDP,NL,0.9,63,251,225,27,52,4,0,8,27,9,1,23,46,.231,.303,.356,.658,86,.315,92,80,2,1,0,2,0,*6,,bogaexa01
94,Casey Schmitt,27,SFG,NL,1.1,59,251,236,31,67,12,1,15,38,5,1,7,49,.284,.315,.534,.849,140,.365,136,126,5,5,0,3,0,D73/456,,schmica01
95,Spencer Torkelson,26,DET,AL,-0.7,65,251,217,22,46,14,0,9,25,0,1,28,80,.212,.311,.401,.712,98,.316,96,87,5,4,0,2,0,*3/H,,torkesp01
96,Trent Grisham*,29,NYY,AL,0.9,63,250,211,37,48,11,1,8,33,5,1,37,41,.227,.340,.403,.743,108,.343,112,85,4,0,0,2,0,*8/H,,grishtr01
97,Chandler Simpson*,25,TBR,AL,0.6,61,250,232,30,64,4,4,0,12,14,8,13,27,.276,.312,.328,.639,80,.290,78,76,2,0,3,2,0,*7/H,,simpsch01
98,Alec Bohm,29,PHI,NL,-0.3,62,249,226,19,51,9,0,7,31,1,0,18,35,.226,.285,.358,.644,76,.305,83,81,6,2,0,3,0,*5/3H,,bohmal01
99,Luke Keaschall,23,MIN,AL,0.0,62,249,221,28,53,10,1,1,21,10,3,21,38,.240,.313,.308,.621,74,.292,74,68,3,4,0,3,1,*4/H,,keasclu01
100,TJ Rumfield*,26,COL,NL,1.0,63,249,220,25,59,10,1,7,29,0,0,23,38,.268,.345,.418,.764,104,.342,105,92,1,4,0,2,0,*3D/H,,rumfitj01
101,Spencer Steer,28,CIN,NL,0.4,63,249,219,38,58,12,0,9,24,3,0,25,51,.265,.345,.443,.788,116,.352,115,97,7,3,0,2,0,739/4H5D,,steersp01
102,Byron Buxton,32,MIN,AL,1.9,55,248,226,41,58,10,1,18,28,5,0,18,64,.257,.319,.549,.867,137,.374,130,124,1,3,0,1,1,8D,,buxtoby01
103,Brooks Lee#,25,MIN,AL,0.3,63,247,228,27,54,9,1,9,37,3,1,15,45,.237,.289,.404,.692,91,.324,98,92,3,2,1,1,0,*65/H,,leebr02
104,Mauricio Dubón,31,ATL,NL,1.8,62,246,227,28,59,13,2,6,36,1,2,17,40,.260,.317,.414,.731,108,.326,111,94,4,2,0,0,0,678/5HD,,dubonma01
105,Munetaka Murakami*,26,CHW,AL,2.0,57,246,200,43,48,4,0,20,41,1,3,44,80,.240,.378,.560,.938,160,.393,154,112,2,1,0,1,4,*3/DH,,murakmu01
106,Carson Benge*,23,NYM,NL,0.9,62,243,223,34,59,9,1,7,26,10,2,17,52,.265,.325,.408,.733,107,.342,114,91,1,3,0,0,0,*97/8HD,,bengeca01
107,Dillon Dingler,27,DET,AL,2.1,59,243,213,29,50,12,0,14,44,0,0,22,47,.235,.320,.488,.808,123,.364,128,104,7,5,0,1,0,*2D/H,,dingldi01
108,Matt McLain,26,CIN,NL,0.3,62,243,212,27,45,11,0,8,25,7,2,28,57,.212,.310,.377,.687,89,.310,86,80,3,2,1,0,0,*46/H,,mclaima01
109,Brayan Rocchio#,25,CLE,AL,1.8,65,243,211,28,60,9,1,5,30,11,4,21,29,.284,.365,.408,.773,118,.356,123,86,4,7,2,2,0,*64,,rocchbr01
110,Jorge Soler,34,LAA,AL,0.0,58,243,214,28,47,10,1,9,33,0,0,22,76,.220,.300,.402,.702,97,.319,99,86,7,4,0,3,0,*D/9H,,solerjo01
111,Nick Gonzales,27,PIT,NL,1.1,60,242,223,34,69,11,0,2,31,3,2,15,42,.309,.360,.386,.745,108,.335,108,86,8,3,0,1,0,*54/6H,,gonzani01
112,Liam Hicks*,27,MIA,NL,1.9,63,240,206,32,54,5,0,12,47,1,0,25,22,.262,.346,.461,.807,128,.355,127,95,2,4,0,5,1,2D3H,,hicksli01
113,Jung Hoo Lee*,27,SFG,NL,1.5,59,240,225,32,75,14,2,3,22,2,0,10,24,.333,.367,.453,.820,136,.366,137,102,3,3,0,2,0,*98/H,,leeju01
114,Dansby Swanson,32,CHC,NL,1.2,62,240,205,35,37,6,1,7,28,5,0,30,56,.180,.285,.322,.606,76,.294,85,66,2,1,1,3,0,*6/DH,,swansda01
115,Ezequiel Tovar,24,COL,NL,-0.1,63,239,220,19,46,13,0,4,22,4,0,14,64,.209,.259,.323,.582,56,.273,53,71,4,2,0,3,0,*6/H,,tovarez01
116,Masyn Winn,24,STL,NL,1.1,56,239,208,22,49,8,2,2,24,5,1,21,52,.236,.318,.322,.640,85,.306,92,67,5,6,0,4,0,*6,,winnma01
117,Ceddanne Rafaela,25,BOS,AL,2.5,61,237,217,25,62,12,2,5,24,6,5,14,48,.286,.346,.429,.775,120,.350,126,93,7,6,0,0,0,*8/H,,rafaece01
118,Daulton Varsho*,29,TOR,AL,1.2,63,236,211,26,54,13,2,5,17,4,0,22,45,.256,.331,.408,.738,102,.332,99,86,0,2,0,1,2,*8/HD,,varshda01
119,Michael Harris II*,25,ATL,NL,2.3,62,235,222,30,68,9,0,13,40,3,1,11,44,.306,.340,.523,.863,144,.373,141,116,1,1,0,1,0,*8/HD7,,harrimi04
120,Spencer Horwitz*,28,PIT,NL,1.4,61,235,196,26,56,8,1,8,27,1,0,33,29,.286,.387,.459,.846,135,.376,136,90,8,2,0,4,0,*3/HD,,horwisp01
121,Ronald Acuña Jr.,28,ATL,NL,1.1,52,233,193,31,49,10,1,7,22,15,6,35,51,.254,.373,.425,.798,129,.360,131,82,0,3,0,2,2,*9/D,,acunaro01
122,J.P. Crawford*,31,SEA,AL,0.9,55,233,193,31,44,5,0,10,23,1,3,34,44,.228,.356,.409,.766,121,.340,122,79,3,5,0,1,0,*6/HD,,crawfjp01
123,Brandon Marsh*,28,PHI,NL,2.0,61,232,216,34,72,11,2,8,30,5,2,11,53,.333,.366,.514,.880,139,.385,140,111,2,2,0,3,1,*78/9H,,marshbr02
124,Andrés Giménez*,27,TOR,AL,0.2,64,230,214,15,48,9,1,6,30,7,2,8,44,.224,.266,.360,.626,71,.281,63,77,5,5,1,2,0,*6/H,,gimenan01
125,Sal Frelick*,26,MIL,NL,-0.3,61,228,198,25,44,8,0,3,23,5,2,21,24,.222,.296,.308,.604,70,.284,72,61,4,1,0,3,1,*9/HD,,frelisa01
126,Troy Johnston*,29,COL,NL,0.0,61,228,207,25,65,18,0,2,28,4,2,17,44,.314,.370,.430,.800,115,.353,113,89,2,2,1,1,0,973/DH,,johnstr02
127,Angel Martínez#,24,CLE,AL,0.6,62,228,211,26,49,10,1,10,31,9,2,7,50,.232,.272,.431,.704,95,.317,93,91,4,5,4,1,0,*79/8H,,martian02
128,Ildemaro Vargas#,34,ARI,NL,1.2,58,227,214,30,60,9,2,7,37,1,0,8,21,.280,.311,.439,.750,108,.335,109,94,3,2,1,1,1,34/5DH76,,vargail01
129,Nolan Arenado,35,ARI,NL,1.7,60,226,199,30,51,12,0,8,30,1,0,20,45,.256,.336,.437,.773,116,.352,121,87,6,5,0,2,1,*5/DH,,arenano01
130,Jake Bauers*,30,MIL,NL,1.6,56,226,196,38,56,12,0,12,43,5,1,28,50,.286,.381,.531,.911,153,.400,154,104,2,2,0,0,3,*37/9HD,,bauerja01
131,Jeff McNeil*,34,ATH,AL,-0.1,62,225,201,15,47,9,0,2,15,1,2,18,32,.234,.304,.308,.612,67,.279,64,62,6,3,1,2,1,*4/H935,,mcneije01
132,Max Muncy*,35,LAD,NL,2.5,60,225,198,41,51,7,0,14,22,0,0,26,57,.258,.347,.505,.852,137,.366,133,100,3,1,0,0,1,*5/H,,muncyma01
133,Carter Jensen*,22,KCR,AL,0.0,61,224,197,26,42,9,0,8,31,0,0,21,68,.213,.286,.381,.666,88,.297,85,75,2,1,0,5,1,2D/H,,jenseca01
134,Bryson Stott*,28,PHI,NL,-0.2,60,224,205,18,45,10,2,6,29,11,0,15,39,.220,.275,.376,.650,77,.303,73,77,5,1,2,1,0,*4/H,,stottbr01
135,Nolan Gorman*,26,STL,NL,-0.1,60,222,196,18,39,4,0,7,26,0,1,23,70,.199,.279,.327,.606,74,.267,68,64,1,0,0,3,2,*5D/H,,gormano01
136,Brett Baty*,26,NYM,NL,0.2,61,219,196,24,46,9,1,3,25,2,1,19,61,.235,.303,.337,.639,82,.296,85,66,2,1,0,2,0,593/HD4,,batybr01
137,Cedric Mullins*,31,TBR,AL,-0.1,56,219,189,21,35,4,1,5,18,10,6,20,39,.185,.276,.296,.572,60,.263,59,56,1,4,3,1,0,*8/H,,mullice01
138,Jacob Young,26,WSN,NL,1.1,65,219,203,27,47,6,1,8,27,5,1,11,39,.232,.284,.389,.674,90,.313,94,79,3,4,1,0,0,*8/HD,,youngja03
139,Jac Caglianone*,23,KCR,AL,0.7,60,218,196,21,49,10,1,6,15,2,1,19,65,.250,.326,.403,.729,106,.330,108,79,2,3,0,0,0,*9/HD3,,caglija01
140,Seiya Suzuki,31,CHC,NL,1.6,52,217,190,29,47,5,0,9,21,0,0,23,55,.247,.336,.416,.752,118,.342,124,79,5,3,0,1,3,*9/DH,,suzukse01
141,Drake Baldwin*,25,ATL,NL,2.6,48,216,188,39,57,6,0,13,38,1,1,24,44,.303,.389,.543,.931,164,.405,166,102,6,3,0,1,1,2D,,baldwdr01
142,Austin Martin,27,MIN,AL,0.9,60,216,186,24,46,10,0,2,17,8,5,26,38,.247,.347,.333,.681,91,.319,98,62,4,3,0,1,0,*97/H8,,martiau01
143,Nolan Schanuel*,24,LAA,AL,0.4,52,216,198,19,50,12,0,4,24,0,1,14,36,.253,.306,.374,.679,92,.305,91,74,8,2,0,2,0,*3/H,,schanno01
144,Evan Carter*,23,TEX,AL,1.4,62,214,180,24,31,6,2,6,19,9,0,27,51,.172,.289,.328,.617,82,.292,83,59,0,3,3,1,0,*8/H,,carteev01
145,Isaac Collins#,28,KCR,AL,-0.2,57,214,176,22,38,7,0,3,16,3,3,30,56,.216,.340,.307,.646,86,.304,92,54,2,4,2,2,0,*7/DH4,,colliis01
146,Nasim Nuñez#,25,WSN,NL,0.5,62,214,184,23,37,2,1,0,18,23,3,22,45,.201,.288,.223,.511,48,.270,51,41,1,1,6,1,0,*4/6HD,,nunezna01
147,Kyle Karros,23,COL,NL,0.3,62,213,182,25,41,11,0,3,17,2,0,28,49,.225,.329,.335,.664,79,.309,80,61,1,1,0,2,0,*5/H,,karroky01
