Hashcode,Player,Age,Team,WAR,W,L,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,SO,HBP,BK,WP,WHIP,Season,Pos'n,Salary,2024 ,Role,League,Division,PA,Teams,Leagues,IP_Dec,BIP,IP_True,Years_Included,Projection_Method,AB,2B,3B,OBP,Total_OB,Total_Outs,AVG_faced,Game_Fatigue_Factor,Condition,Status,Injured Days,BS,HLD,E,Age_Adjustment,Injury_Rate_Adj,Injury_Perf_Adj,Streak_Adjustment,Def_WAR
218906952809208616391802039394074324692,Logan Webb,28,SFG,3.9,15,11,1.5477744501668915,34,34,0,0,0,210.0,200.22596464359307,82,36.1147371705608,17.61823070723727,58.18718433364658,193.97613848010099,0,0,2,1.2305388046535222,2026,rhp-s,4,"$8,000,000 ",Pitcher,NL,West,886.9134136146168,['SFG'],['NL'],207.0,613.0,210.0,"[2023, 2024, 2025]",Trend,830.2259646435931,0,0,0.29087046862682125,258.41314897723964,630.0,26.129798499330576,0,100,Active,0,0,0,0,0.0,0,0,0.0,-2.4760407158189595
112079525595244582850114200148831025259,Zac Gallen,29,ARI,1.1,13,15,1.692214236001085,33,33,0,0,0,195.84,176.8099133806743,109,36.82258177538361,24.25709766983536,63.66522665373699,197.55830339153897,0,0,2,1.2279163604698289,2026,rhp-s,4,"$10,011,000 ",Pitcher,NL,West,832.884117925883,['ARI'],['NL'],192.0,581.0,195.84,"[2023, 2024, 2025]",Trend,769.8099133806743,0,0,0.2904306177744198,240.47514003441128,587.52,25.090761819224586,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.7059572500993887
293153207132467411019115554011984160921,Miles Mikolas,36,STL,0.3,8,11,1.897452284076962,31,31,0,0,0,159.45996599999998,156.02714054932764,87,33.618630745059406,20.34043129464805,47.43012171502971,96.80503989766954,0,0,1,1.2759143712871315,2026,rhp-s,7,"$17,666,667 ",Pitcher,NL,Central,596.7940714033709,['STL'],['NL'],156.33329999999998,541.0,159.45996599999998,"[2023, 2024, 2025]",Trend,638.0271405493277,0,0,0.2983956787944416,203.45726226435735,478.3798979999999,21.994747105301848,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.235705636958698
214993367207881287726518102837965426548,Chris Bassitt,36,TOR,2.1,11,9,1.782027746320737,32,31,1,0,0,173.73996599999998,165.41525962819537,80,34.40104889520238,18.76390245605095,67.82777388907124,138.75402329187875,0,3,4,1.3424834762386602,2026,rhp-s,7,"$22,000,000 ",Pitcher,AL,East,653.3763192641724,['TOR'],['AL'],170.33329999999998,532.0,173.73996599999998,"[2023, 2024, 2025]",Trend,691.4152596281954,0,0,0.30915108453135265,233.2430335172666,521.219898,23.576966609914578,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.7485242790377051
276924044904130283584024553515233883168,Framber Valdez,31,HOU,3.8,13,11,1.639340885364635,31,31,2,0,0,195.84,172.16225530988157,82,35.67205766553446,18.362275436813857,64.45176400662335,188.66312059427054,0,1,12,1.2082006705295392,2026,lhp-s,4,"$12,100,000 ",Pitcher,AL,West,820.5578208547162,['HOU'],['AL'],192.0,567.0,195.84,"[2023, 2024, 2025]",Trend,765.1622553098816,0,0,0.2871062397263259,236.61401931650494,587.52,26.584968365048546,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.5170683612104998
287003811626651901159013285640564060807,Luis Castillo,32,SEA,2.1,11,8,1.6767209114757793,32,32,0,0,0,184.27993199999997,168.27354061757026,76,34.331779505526065,23.978591225692234,57.89344954568708,182.66410551794644,0,0,3,1.2273012460372374,2026,rhp-s,6,"$24,150,000 ",Pitcher,AL,West,761.0054461704838,['SEA'],['AL'],180.66659999999996,555.0,184.27993199999997,"[2023, 2024, 2025]",Trend,723.2735406175702,0,0,0.29032736836243594,226.16699016325734,552.839796,24.34396206760179,0,100,Active,0,0,0,0,0.0,0,0,0.0,-0.9568989978074005
338008446176538542889699769905548246399,Mitch Keller,29,PIT,1.4,6,15,1.722665714975063,32,32,0,0,0,179.859966,171.43737845076873,91,34.426510769420055,22.579438289770554,57.40871479370583,176.3735911976272,0,0,5,1.272357036053674,2026,rhp-s,4,"$5,854,000 ",Pitcher,NL,Central,779.6151835203269,['PIT'],['NL'],176.33329999999998,560.0,179.859966,"[2023, 2024, 2025]",Trend,717.4373784507687,0,0,0.2978114949936242,228.84609324447456,539.579898,24.01331222638983,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.4143354431033108
200632529582238833751622507721868473243,Pablo López,29,MIN,2.1,5,4,1.8372822856898356,14,14,0,0,0,75.6666,67.82358128453696,28,15.446767088708725,8.871560424135753,23.059625721319126,82.13326515126822,0,2,1,1.2011007102982831,2026,rhp-s,5,"$8,250,000 ",Pitcher,AL,Central,321.419694162476,['MIN'],['AL'],75.6666,222.0,75.6666,"[2023, 2024, 2025]",Trend,299.82358128453694,0,0,0.2859014322970143,90.88320700585608,226.9998,22.705929071846864,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.21146304000736937
14990678815731014196898123011536589329,Corbin Burnes,30,ARI,1.9,3,2,1.8079287901354375,11,11,0,0,0,64.33329999999998,54.8524533289067,23,12.92333613715779,7.552333563290673,21.605821345599477,62.837140194321954,0,2,1,1.188471206583623,2026,rhp-s,5,"$15,637,500 ",Pitcher,NL,West,269.89804338709337,['ARI'],['NL'],64.33329999999998,182.0,64.33329999999998,"[2023, 2024, 2025]",Trend,249.8524533289067,0,0,0.28374820978010584,76.45827467450617,192.99989999999994,24.496197697682373,0,100,Active,0,0,0,0,0.0,0,0,0.0,0.8437692490842956
196112672296838564746424125141733703839,Aaron Nola,32,PHI,-0.3,5,10,1.8504726841720194,17,17,0,0,0,94.33329999999998,89.56848716016728,65,19.39568831753381,14.518215935718937,29.37889174618197,92.61449400583983,0,0,1,1.260926723716326,2026,rhp-s,8,"$24,571,429 ",Pitcher,NL,East,393.5563247104918,['PHI'],['NL'],94.33329999999998,289.0,94.33329999999998,"[2023, 2024, 2025]",Trend,374.56848716016725,0,0,0.2959278122991427,118.94737890634926,282.9998999999999,23.643957582726422,0,100,Active,0,0,0,0,0.0,0,0,0.0,-1.174175460132623
