Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Francisco Lindor#,31,NYM,NL,5.8,160,732,644,117,172,35,0,31,86,31,6,65,131,.267,.346,.466,.811,129,.359,128,300,9,16,0,7,2,*6/DH,AS,lindofr01
2,Rafael Devers*,28,2TM,2LG,4.0,163,729,607,99,153,33,0,35,109,1,1,112,192,.252,.372,.479,.851,140,.366,139,291,16,6,0,4,10,*D3/5H,,deverra01
2,Rafael Devers*,28,BOS,AL,2.3,73,334,272,47,74,18,0,15,58,1,1,56,76,.272,.401,.504,.905,151,.387,153,137,7,4,0,2,7,D,,deverra01
2,Rafael Devers*,28,SFG,NL,1.8,90,395,335,52,79,15,0,20,51,0,0,56,116,.236,.347,.460,.807,130,.349,127,154,9,2,0,2,3,D3/5H,,deverra01
3,Shohei Ohtani*,30,LAD,NL,6.6,158,727,611,146,172,25,9,55,102,20,6,109,187,.282,.392,.622,1.014,179,.423,175,380,9,3,0,2,20,*D1,AS,ohtansh01
4,Matt Olson*,31,ATL,NL,6.1,162,724,624,98,170,41,2,29,95,1,0,91,176,.272,.366,.484,.850,138,.368,136,302,14,4,0,5,2,*3,AS,olsonma02
5,Kyle Schwarber*,32,PHI,NL,4.7,162,724,604,111,145,23,2,56,132,10,2,108,197,.240,.365,.563,.928,150,.396,149,340,4,11,0,1,6,*D/7,AS,schwaky01
6,Geraldo Perdomo#,25,ARI,NL,7.0,161,720,597,98,173,33,5,20,100,27,6,94,83,.290,.389,.462,.851,136,.382,139,276,11,10,8,11,1,*6/H,,perdoge01
7,Juan Soto*,26,NYM,NL,6.2,160,715,577,120,152,20,1,43,105,38,4,127,137,.263,.396,.525,.921,160,.410,163,303,17,3,1,6,13,*9/D,,sotoju01
8,Julio Rodríguez,24,SEA,AL,6.8,160,710,652,106,174,31,4,32,95,30,6,44,152,.267,.324,.474,.798,128,.353,133,309,15,12,0,2,5,*8/DH,AS,rodriju01
9,Pete Alonso,30,NYM,NL,3.4,162,709,624,87,170,41,1,38,126,1,2,61,162,.272,.347,.524,.871,144,.371,142,327,23,15,0,9,5,*3/D,AS,alonspe01
10,Randy Arozarena,30,SEA,AL,3.9,160,709,613,95,146,32,1,27,76,31,6,64,191,.238,.334,.426,.760,119,.341,124,261,9,27,0,5,2,*7/D,AS,arozara01
11,Cal Raleigh#,28,SEA,AL,7.3,159,705,596,110,147,24,0,60,125,14,4,97,188,.247,.359,.589,.948,169,.392,165,351,6,9,0,3,17,*2D/H,AS,raleica01
12,Elly De La Cruz#,23,CIN,NL,3.6,162,699,629,102,166,31,7,22,86,37,8,67,181,.264,.336,.440,.777,109,.342,104,277,14,2,0,1,10,*6/DH,AS,delacel01
13,Brent Rooker,30,ATH,AL,2.3,162,699,626,92,164,40,3,30,89,6,1,65,155,.262,.335,.479,.814,123,.353,125,300,13,5,0,2,4,*D9/7H,AS,rookebr01
14,Jarren Duran*,28,BOS,AL,4.6,157,696,620,86,159,41,13,16,84,24,6,60,169,.256,.332,.442,.774,114,.345,118,274,6,12,1,3,1,*78/H9D,,duranja01
15,Heliot Ramos,25,SFG,NL,1.2,157,695,620,85,159,24,1,21,69,6,4,52,158,.256,.328,.400,.728,108,.319,107,248,16,17,0,6,2,*7/DH,,ramoshe02
16,Steven Kwan*,27,CLE,AL,3.7,156,693,625,81,170,29,1,11,56,21,5,55,60,.272,.330,.374,.705,96,.312,94,234,3,3,3,7,2,*7/D8,AS,kwanst01
17,Fernando Tatis Jr.,26,SDP,NL,5.9,155,691,594,111,159,27,2,25,71,32,7,89,129,.268,.368,.446,.814,125,.368,129,265,6,6,0,2,7,*9/D,AS,tatisfe02
18,James Wood*,22,WSN,NL,3.7,157,689,598,87,153,38,0,31,94,15,7,85,221,.256,.350,.475,.825,132,.357,132,284,12,3,0,3,8,*7D/H,AS,woodja03
19,Bobby Witt Jr.,25,KCR,AL,7.1,157,687,623,99,184,47,6,23,88,38,9,49,125,.295,.351,.501,.852,136,.370,136,312,7,8,0,7,8,*6/D,AS,wittbo02
20,Willy Adames,29,SFG,NL,3.6,160,686,591,94,133,22,2,30,87,12,4,80,179,.225,.318,.421,.740,111,.326,110,249,9,5,0,9,2,*6/D,,adamewi01
21,TJ Friedl*,29,CIN,NL,2.3,152,685,579,82,151,22,2,14,53,12,3,81,115,.261,.364,.378,.742,102,.341,106,219,7,16,4,5,0,*8/DH,,friedtj01
22,Vinnie Pasquantino*,27,KCR,AL,2.4,160,682,621,72,164,33,1,32,113,1,0,49,107,.264,.323,.475,.798,120,.343,121,295,14,7,0,5,5,*3D,,pasquvi01
23,Vladimir Guerrero Jr.,26,TOR,AL,4.5,156,680,589,96,172,34,0,23,84,6,3,81,94,.292,.381,.467,.848,133,.365,133,275,17,6,0,4,8,*3D/H,AS,guerrvl02
24,Aaron Judge,33,NYY,AL,9.7,152,679,541,137,179,30,2,53,114,12,5,124,160,.331,.457,.688,1.144,215,.461,212,372,16,7,0,7,36,9D/H,AS,judgeaa01
25,Manny Machado,32,SDP,NL,4.1,159,678,615,91,169,33,0,27,95,14,3,55,131,.275,.335,.460,.795,118,.346,115,283,16,3,0,5,4,*5D,AS,machama01
26,Luis Arráez*,28,SDP,NL,1.3,154,675,620,66,181,30,4,8,61,11,4,34,21,.292,.327,.392,.719,99,.318,97,243,12,2,12,7,0,*3D4/H,,arraelu01
27,José Ramírez#,32,CLE,AL,5.8,158,673,593,103,168,34,3,30,85,44,7,66,74,.283,.360,.503,.863,137,.372,134,298,9,8,0,5,22,*5D,AS,ramirjo01
28,Ozzie Albies#,28,ATL,NL,2.1,157,667,603,74,145,23,2,16,74,14,3,55,94,.240,.306,.365,.671,89,.307,92,220,9,4,0,5,2,*4,,albieoz01
29,Maikel Garcia,25,KCR,AL,5.8,160,666,595,81,170,39,5,16,74,23,9,62,84,.286,.351,.449,.800,123,.348,123,267,14,1,3,5,0,*564/8DH9,AS,garcima01
30,Mookie Betts,32,LAD,NL,4.8,150,663,589,95,152,23,2,20,82,8,2,61,68,.258,.326,.406,.732,104,.322,102,239,15,3,0,10,2,*6/H9,,bettsmo01
31,Ian Happ#,30,CHC,NL,4.0,150,663,569,87,138,32,0,23,79,6,3,87,151,.243,.342,.420,.762,120,.338,122,239,8,2,0,5,2,*7/DH,,happia01
32,Taylor Ward,31,LAA,AL,2.7,157,663,579,86,132,31,2,36,103,4,1,75,175,.228,.317,.475,.792,116,.342,117,275,13,3,0,6,1,*7/DH,,wardta01
33,William Contreras,27,MIL,NL,3.9,150,659,566,89,147,28,0,17,76,6,4,84,120,.260,.355,.399,.754,111,.342,117,226,14,3,0,6,4,*2D/37,,contrwi02
34,Brice Turang*,25,MIL,NL,5.5,156,659,584,97,168,28,2,18,81,24,8,66,150,.288,.359,.435,.794,121,.355,123,254,3,2,2,5,1,*4/H6,,turanbr02
35,Eugenio Suárez,33,2TM,2LG,3.6,159,657,588,91,134,28,0,49,118,4,1,46,196,.228,.298,.526,.824,126,.354,127,309,11,16,0,7,2,*5/D3H,AS,suareeu01
35,Eugenio Suárez,33,ARI,NL,3.3,106,437,387,64,96,19,0,36,87,1,0,29,117,.248,.320,.576,.897,142,.386,145,223,7,15,0,6,1,5/DH3,,suareeu01
35,Eugenio Suárez,33,SEA,AL,0.3,53,220,201,27,38,9,0,13,31,3,1,17,79,.189,.255,.428,.682,94,.289,89,86,4,1,0,1,1,5/3,,suareeu01
36,Cody Bellinger*,29,NYY,AL,5.0,152,656,588,89,160,25,5,29,98,13,2,57,90,.272,.334,.480,.813,125,.349,123,282,8,2,0,9,1,*798/3H,,bellico01
37,Riley Greene*,24,DET,AL,2.1,157,655,600,84,155,31,1,36,111,2,1,46,201,.258,.313,.493,.806,120,.343,118,296,14,4,0,5,1,*7D8/H9,AS,greenri03
38,Jose Altuve,35,HOU,AL,0.5,155,654,588,80,156,24,1,26,77,10,6,55,109,.265,.329,.442,.771,112,.331,110,260,20,4,1,6,5,4D7/H,,altuvjo01
39,J.P. Crawford*,30,SEA,AL,3.7,157,654,570,69,151,24,0,12,58,8,1,74,122,.265,.352,.370,.722,111,.322,113,211,11,3,6,1,1,*6/H,,crawfjp01
40,Bryan Reynolds#,30,PIT,NL,1.4,154,654,587,68,144,38,3,16,73,3,2,57,173,.245,.318,.402,.720,99,.319,99,236,15,7,0,3,1,*9D/H,,reynobr01
41,Trevor Story,32,BOS,AL,3.8,157,654,612,91,161,29,0,25,96,31,1,33,176,.263,.308,.433,.741,104,.333,105,265,3,7,1,1,1,*6/HD,,storytr01
42,Junior Caminero,21,TBR,AL,4.5,154,653,602,93,159,28,0,45,110,7,1,41,125,.264,.311,.535,.846,131,.366,136,322,31,3,0,7,1,*5/DH3,AS,caminju01
43,Brandon Nimmo*,32,NYM,NL,2.9,155,652,587,81,154,27,0,25,92,13,1,50,141,.262,.324,.436,.760,114,.335,113,256,8,7,1,7,1,*7/8DH,,nimmobr01
44,Yandy Díaz,33,TBR,AL,3.4,150,651,583,79,175,29,1,25,83,3,1,57,92,.300,.366,.482,.848,136,.364,136,281,12,6,0,5,4,*D3,,diazya01
45,Gunnar Henderson*,24,BAL,AL,5.4,154,651,577,85,158,34,5,17,68,30,5,62,137,.274,.349,.438,.787,121,.349,122,253,7,7,0,5,6,*6/DH,,hendegu01
46,Seiya Suzuki,30,CHC,NL,2.6,151,651,571,75,140,31,3,32,103,5,2,71,164,.245,.326,.478,.804,130,.348,129,273,13,1,0,8,1,D97/H8,,suzukse01
47,Nico Hoerner,28,CHC,NL,6.1,156,649,599,89,178,29,4,7,61,29,6,39,49,.297,.345,.394,.739,114,.338,118,236,4,7,0,4,1,*4/6,,hoernni01
48,Jackson Holliday*,21,BAL,AL,1.0,149,649,586,70,142,21,3,17,55,17,11,56,140,.242,.314,.375,.690,95,.305,97,220,4,6,0,1,1,*4/6DH,,hollija01
