Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
12,Eugenio Suárez,31,SEA,AL,2.4,162,694,598,68,139,29,0,22,96,2,1,70,214,.232,.323,.391,.714,103,.315,105,234,10,15,0,11,0,*5/D,,suareeu01
13,Bobby Witt Jr.,23,KCR,AL,4.3,158,694,641,97,177,28,11,30,96,49,15,40,121,.276,.319,.495,.813,118,.348,114,317,11,4,1,8,1,*6D/H,MVP-7,wittbo02
14,Mookie Betts,30,LAD,NL,8.6,152,693,584,126,179,40,1,39,107,14,3,96,107,.307,.408,.579,.987,165,.424,169,338,5,8,0,5,3,946/H,ASMVP-2SS,bettsmo01
15,Ian Happ#,28,CHC,NL,3.6,158,691,580,86,144,35,4,21,84,14,3,99,153,.248,.360,.431,.791,118,.351,120,250,12,6,0,6,2,*7/DH,GG,happia01
16,José Ramírez#,30,CLE,AL,4.9,156,691,611,87,172,36,5,24,80,28,6,73,73,.282,.356,.475,.831,128,.357,124,290,8,1,0,6,22,*5D,ASMVP-10,ramirjo01
17,Trea Turner,30,PHI,NL,3.5,155,691,639,102,170,35,5,26,76,30,0,45,150,.266,.320,.459,.778,110,.349,111,293,12,6,0,1,2,*6/D,,turnetr01
18,Nico Hoerner,26,CHC,NL,5.5,150,688,619,98,175,27,4,9,68,43,7,49,83,.283,.346,.383,.729,102,.344,110,237,12,14,1,5,0,*46/DH,GG,hoernni01
19,Paul Goldschmidt,35,STL,NL,3.3,154,687,593,89,159,31,0,25,80,11,2,87,161,.268,.363,.447,.810,120,.355,119,265,12,3,0,3,6,*3D,,goldspa01
20,Francisco Lindor#,29,NYM,NL,6.1,160,687,602,108,153,33,2,31,98,31,4,66,137,.254,.336,.470,.806,121,.355,120,283,8,12,0,7,1,*6/DH,MVP-9SS,lindofr01
21,Adley Rutschman#,25,BAL,AL,4.3,154,687,588,84,163,31,1,20,80,1,2,92,101,.277,.374,.435,.809,128,.350,127,256,14,2,0,5,6,*2D/H,ASMVP-9SS,rutscad01
22,Spencer Torkelson,23,DET,AL,1.0,159,684,606,88,141,34,1,31,94,3,0,67,171,.233,.313,.446,.758,107,.332,108,270,15,6,0,5,1,*3/D,,torkesp01
23,George Springer,33,TOR,AL,2.0,154,683,613,87,158,25,1,21,72,20,5,60,125,.258,.327,.405,.732,102,.327,104,248,20,5,0,3,1,*9D/H8,,springe01
24,Vladimir Guerrero Jr.,24,TOR,AL,1.8,156,682,602,78,159,30,0,26,94,5,3,67,100,.264,.345,.444,.788,116,.346,120,267,23,9,0,4,5,*3D/H,AS,guerrvl02
25,Brandon Nimmo*,30,NYM,NL,4.0,152,682,592,89,162,30,6,24,68,3,3,74,146,.274,.363,.466,.829,128,.362,131,276,6,11,1,4,0,*87/DH,,nimmobr01
26,Lane Thomas,27,WSN,NL,3.3,156,682,628,101,168,36,3,28,86,20,5,36,176,.268,.315,.468,.783,115,.343,116,294,5,11,0,7,0,*98/H1D,,thomala02
27,Teoscar Hernández,30,SEA,AL,2.3,160,678,625,70,161,29,2,26,93,7,2,38,211,.258,.305,.435,.741,108,.318,106,272,6,8,0,7,2,*9D/H,,hernate01
28,Kyle Tucker*,26,HOU,AL,5.5,157,674,574,97,163,37,5,29,112,30,5,80,92,.284,.369,.517,.886,142,.381,141,297,11,3,0,10,9,*9/DH,ASMVP-5SS,tuckeky01
29,Gleyber Torres,26,NYY,AL,2.9,158,672,596,90,163,28,2,25,68,13,6,67,98,.273,.347,.453,.800,118,.344,116,270,19,3,0,6,0,*4D/H,,torregl01
30,Nick Castellanos,31,PHI,NL,1.5,157,671,626,79,170,37,2,29,106,11,2,36,185,.272,.311,.476,.788,112,.342,111,298,17,3,0,6,0,*9/DH,ASMVP-23,casteni01
31,Xander Bogaerts,30,SDP,NL,4.2,155,665,596,83,170,31,2,19,58,19,2,56,110,.285,.350,.440,.790,117,.349,117,262,21,7,0,6,0,*6/DH,,bogaexa01
32,Ty France,28,SEA,AL,0.9,158,665,587,79,147,32,0,12,58,1,0,43,117,.250,.337,.366,.703,101,.318,107,215,25,34,0,1,0,*3/H,,francty01
33,Spencer Steer,25,CIN,NL,2.9,156,665,582,74,158,37,3,23,86,15,3,68,139,.271,.356,.464,.820,117,.360,118,270,9,11,0,4,0,3574/D9H,ROY-6,steersp01
34,Christian Walker,32,ARI,NL,3.7,157,661,582,86,150,36,2,33,103,11,0,62,127,.258,.333,.497,.830,122,.356,119,289,13,8,0,8,3,*3/DH,MVP-23GG,walkech02
35,Ozzie Albies#,26,ATL,NL,5.0,148,660,596,96,167,30,5,33,109,13,1,46,107,.280,.336,.513,.849,126,.362,122,306,9,8,0,8,2,*4,ASMVP-16,albieoz01
36,Pete Alonso,28,NYM,NL,3.3,154,658,568,92,123,21,2,46,118,4,1,65,151,.217,.318,.504,.821,123,.351,122,286,17,21,0,4,6,*3/D,ASMVP-17,alonspe01
37,Joey Meneses,31,WSN,NL,0.6,154,657,611,71,168,36,1,13,89,0,0,38,130,.275,.321,.401,.722,100,.322,103,245,15,5,0,3,0,*D3/H9,,menesjo01
38,Rafael Devers*,26,BOS,AL,3.5,153,656,580,90,157,34,0,33,100,5,1,62,126,.271,.351,.500,.851,126,.365,126,290,15,11,0,3,10,*5/DH6,MVP-18SS,deverra01
39,Anthony Santander#,28,BAL,AL,3.0,153,656,591,81,152,41,1,28,95,5,1,55,152,.257,.325,.472,.797,121,.341,119,279,11,6,0,4,1,9D3/H7,,santaan02
40,Randy Arozarena,28,TBR,AL,3.4,151,654,551,95,140,19,3,23,83,22,10,80,156,.254,.364,.425,.789,119,.351,124,234,10,18,0,5,1,*7D/H,AS,arozara01
41,Ketel Marte#,29,ARI,NL,4.9,150,650,569,94,157,26,9,25,82,8,2,71,109,.276,.358,.485,.844,127,.366,128,276,16,5,0,5,2,*4/DH86,,marteke01
42,Jeff McNeil*,31,NYM,NL,2.4,156,648,585,75,158,25,4,10,55,10,0,39,65,.270,.333,.378,.711,97,.320,98,221,5,18,3,3,0,497/H836,,mcneije01
43,Corbin Carroll*,22,ARI,NL,5.3,155,645,565,116,161,30,10,25,76,54,5,57,125,.285,.362,.506,.868,133,.387,133,286,7,13,6,4,1,*798/HD,ASMVP-5ROY-1,carroco02
44,Bryan Reynolds#,28,PIT,NL,2.4,145,640,574,85,151,31,5,24,84,12,1,53,138,.263,.330,.460,.790,111,.343,109,264,13,7,0,6,2,*7D8/H,,reynobr01
45,Bryson Stott*,25,PHI,NL,4.3,151,640,585,78,164,32,2,15,62,31,3,39,100,.280,.329,.419,.747,103,.339,105,245,10,7,1,8,1,*4/HD,,stottbr01
46,Willy Adames,27,MIL,NL,2.9,149,638,553,73,120,29,2,24,80,5,3,71,165,.217,.310,.407,.717,94,.313,93,225,12,6,0,6,1,*6/D,,adamewi01
47,J.P. Crawford*,28,SEA,AL,5.2,145,638,534,94,142,35,0,19,65,2,0,94,125,.266,.380,.438,.818,133,.362,138,234,7,5,3,2,1,*6/H,MVP-16,crawfjp01
48,Dansby Swanson,29,CHC,NL,5.2,147,638,565,81,138,25,3,22,80,9,1,66,154,.244,.328,.416,.744,104,.328,103,235,9,5,0,2,0,*6,ASMVP-19GG,swansda01
49,Fernando Tatis Jr.,24,SDP,NL,5.2,141,635,575,91,148,33,1,25,78,29,4,53,141,.257,.322,.449,.770,110,.347,114,258,17,3,1,3,0,*9/8D4H,MVP-14GG,tatisfe02
50,Jeremy Peña,25,HOU,AL,3.9,150,634,577,81,152,32,3,10,52,13,9,43,129,.263,.324,.381,.705,95,.315,99,220,11,9,1,1,1,*6,,penaje02
51,Adolis García,30,TEX,AL,4.5,148,632,555,108,136,29,0,39,107,9,1,65,175,.245,.328,.508,.836,127,.360,127,282,12,6,0,6,0,*9/8DH,ASMVP-14GG,garciad02
52,Christian Yelich*,31,MIL,NL,3.5,144,632,550,106,153,34,1,19,76,28,3,78,140,.278,.370,.447,.818,123,.366,125,246,15,3,0,1,7,*7D/H,,yelicch01
53,Ryan McMahon*,28,COL,NL,2.9,152,627,555,80,133,31,3,23,70,5,5,68,198,.240,.322,.431,.753,94,.326,92,239,19,1,0,3,2,*54/HD,,mcmahry01
54,Bryan De La Cruz,26,MIA,NL,-0.7,153,626,579,60,149,32,0,19,78,4,1,40,142,.257,.304,.411,.715,88,.315,86,238,18,1,0,5,0,*79/8HD,,delacbr01
55,Ha-Seong Kim,27,SDP,NL,5.4,152,626,538,84,140,23,0,17,60,38,9,75,124,.260,.351,.398,.749,107,.348,115,214,7,3,5,5,1,456/HD,MVP-14GG,kimha01
56,Justin Turner,38,BOS,AL,2.1,146,626,558,86,154,31,0,23,96,4,1,51,110,.276,.345,.455,.800,114,.350,116,254,10,11,0,6,0,D34/5H,,turneju01
57,Gunnar Henderson*,22,BAL,AL,6.1,150,622,560,100,143,29,9,28,82,10,3,56,159,.255,.325,.489,.814,125,.349,125,274,10,3,0,3,1,56D/H,MVP-8ROY-1SS,hendegu01
58,Andrew Benintendi*,28,CHW,AL,0.4,151,621,562,72,147,34,2,5,45,13,2,52,89,.262,.326,.356,.682,88,.306,87,200,12,3,1,3,5,*7/HD,,beninan01
59,Carlos Santana#,37,2TM,NL,2.6,146,619,550,78,132,33,1,23,86,6,0,65,104,.240,.318,.429,.747,101,.331,102,236,11,0,0,4,0,*3D/H,,santaca01
59,Carlos Santana#,37,PIT,NL,1.5,94,393,345,45,81,25,0,12,53,6,0,45,69,.235,.321,.412,.732,97,.329,99,142,3,0,0,3,0,3/D,,santaca01
59,Carlos Santana#,37,MIL,NL,1.1,52,226,205,33,51,8,1,11,33,0,0,20,35,.249,.314,.459,.773,108,.333,107,94,8,0,0,1,0,3/DH,,santaca01
60,Luis Arráez*,26,MIA,NL,4.6,147,617,574,71,203,30,3,10,69,3,2,35,34,.354,.393,.469,.861,128,.373,129,269,18,4,1,3,10,*43/HD,ASMVP-8SS,arraelu01
61,Josh Bell#,30,2TM,2LG,-0.1,150,617,547,52,135,28,0,22,74,0,1,63,134,.247,.325,.419,.744,101,.323,99,229,13,2,0,3,2,D3/H,,belljo02
61,Josh Bell#,30,CLE,AL,-0.3,97,393,347,26,81,19,0,11,48,0,1,43,81,.233,.318,.383,.701,93,.304,90,133,7,1,0,2,1,D3/H,,belljo02
61,Josh Bell#,30,MIA,NL,0.2,53,224,200,26,54,9,0,11,26,0,0,20,53,.270,.338,.480,.818,114,.355,115,96,6,1,0,1,1,3D,,belljo02
62,Andrés Giménez*,24,CLE,AL,5.0,153,616,557,76,140,27,5,15,62,30,6,32,112,.251,.314,.399,.712,96,.318,95,222,10,20,4,3,3,*4/H,GG,gimenan01
63,Ezequiel Tovar,21,COL,NL,2.5,153,615,581,79,147,37,4,15,73,11,5,25,166,.253,.287,.408,.695,79,.305,76,237,10,4,2,3,0,*6,,tovarez01
64,Andrew Vaughn,25,CHW,AL,1.1,152,615,566,67,146,30,2,21,80,0,0,36,129,.258,.314,.429,.743,102,.325,103,243,15,11,0,2,0,*3/DH,,vaughan01
65,CJ Abrams*,22,WSN,NL,3.5,151,614,563,83,138,28,6,18,64,47,4,32,118,.245,.300,.412,.712,96,.324,94,232,7,13,3,3,2,*6/H,,abramcj01
66,Nolan Arenado,32,STL,NL,2.2,144,612,560,71,149,26,2,26,93,3,3,41,101,.266,.315,.459,.774,108,.335,108,257,21,3,0,8,5,*5D/H,AS,arenano01
67,Alec Bohm,26,PHI,NL,0.5,145,611,558,74,153,31,0,20,97,4,1,42,94,.274,.327,.437,.765,107,.333,106,244,23,5,0,6,1,53/DH,,bohmal01
68,William Contreras,25,MIL,NL,3.7,141,611,540,86,156,38,1,17,78,6,1,63,126,.289,.367,.457,.825,124,.362,126,247,23,5,1,2,2,2D/H,MVP-11SS,contrwi02
69,MJ Melendez*,24,KCR,AL,-0.4,148,602,533,65,125,29,5,16,56,6,4,62,170,.235,.316,.398,.713,94,.315,95,212,4,3,0,4,2,*97D2/H3,,melenmj01
70,Alex Verdugo*,27,BOS,AL,2.7,142,602,546,81,144,37,5,13,54,5,3,45,93,.264,.324,.421,.745,100,.324,98,230,11,6,0,5,1,*9/H,,verdual01
71,Bo Bichette,25,TOR,AL,4.8,135,601,571,69,175,30,3,20,73,5,3,27,115,.306,.339,.475,.814,122,.355,126,271,14,2,0,1,0,*6/DH,ASMVP-16,bichebo01
72,Manny Machado,30,SDP,NL,2.7,138,601,543,75,140,21,0,30,91,3,2,50,109,.258,.319,.462,.782,113,.337,111,251,20,2,0,6,1,5D,,machama01
73,Anthony Volpe,22,NYY,AL,3.3,159,601,541,62,113,23,4,21,60,24,5,52,167,.209,.283,.383,.666,81,.299,80,207,10,5,1,2,0,*6/H,ROY-8GG,volpean01
74,Yandy Díaz,31,TBR,AL,5.1,137,600,525,95,173,35,0,22,78,0,1,65,94,.330,.410,.522,.932,157,.399,159,274,16,8,0,2,0,*3D/5H,ASMVP-6SS,diazya01
75,Shohei Ohtani*,28,LAA,AL,6.1,135,599,497,102,151,26,8,44,95,20,6,91,143,.304,.412,.654,1.066,185,.435,181,325,9,3,0,3,21,*D1,ASMVP-1SS,ohtansh01
76,Luis Robert Jr.,25,CHW,AL,5.3,145,595,546,90,144,36,1,38,80,20,4,30,172,.264,.315,.542,.857,130,.363,128,296,10,12,0,2,5,*8/H,ASMVP-12SS,roberlu01
77,José Abreu,36,HOU,AL,-0.1,141,594,540,62,128,23,1,18,90,0,1,42,130,.237,.296,.383,.680,87,.303,89,207,16,6,0,6,1,*3/D,,abreujo02
78,Lourdes Gurriel Jr.,29,ARI,NL,2.9,145,592,551,65,144,35,2,24,82,5,0,33,103,.261,.309,.463,.772,107,.333,104,255,20,6,0,2,1,7D/H3,AS,gurrilo01
79,Whit Merrifield,34,TOR,AL,0.7,145,592,547,66,149,27,0,11,67,26,10,36,101,.272,.318,.382,.700,93,.311,93,209,15,3,0,6,2,47/H9,AS,merriwh01
80,Marcell Ozuna,32,ATL,NL,3.4,144,592,530,84,145,29,1,40,100,0,0,57,134,.274,.346,.558,.905,140,.384,141,296,9,3,0,2,1,*D/7H,MVP-19,ozunama01
81,Dominic Smith*,28,WSN,NL,0.9,153,586,527,57,134,21,1,12,46,1,1,47,91,.254,.326,.366,.692,93,.310,95,193,12,10,0,2,1,*3/HD,,smithdo02
82,Seiya Suzuki,28,CHC,NL,3.2,138,583,515,75,147,31,6,20,74,6,7,59,130,.285,.357,.485,.842,130,.357,128,250,8,2,0,7,3,*9/DH,,suzukse01
83,Matt Chapman,30,TOR,AL,4.3,140,581,509,66,122,39,2,17,54,4,2,62,165,.240,.330,.424,.755,107,.333,110,216,4,8,0,2,1,*5/DH,GG,chapmma01
84,Daulton Varsho*,26,TOR,AL,3.6,158,581,527,65,116,23,3,20,61,16,7,45,135,.220,.285,.389,.674,84,.299,86,205,5,4,1,3,0,*78/HD,,varshda01
85,Carlos Correa,28,MIN,AL,1.3,135,580,514,60,118,29,2,18,65,0,0,59,131,.230,.312,.399,.711,94,.312,93,205,30,4,0,3,3,*6,,correca01
86,Salvador Perez,33,KCR,AL,0.4,140,580,538,59,137,21,0,23,80,0,0,19,135,.255,.292,.422,.714,92,.303,86,227,11,13,0,8,6,2D3,AS,perezsa02
87,Jorge Soler,31,MIA,NL,1.5,137,580,504,77,126,24,0,36,75,1,0,66,141,.250,.341,.512,.853,123,.364,121,258,20,6,0,4,4,D9/H,AS,solerjo01
88,Masataka Yoshida*,29,BOS,AL,1.4,140,580,537,71,155,33,3,15,72,8,0,34,81,.289,.338,.445,.783,109,.348,112,239,20,7,0,2,0,7D/H,ROY-6,yoshima02
89,Max Muncy*,32,LAD,NL,2.9,135,579,482,95,102,17,1,36,105,1,2,85,153,.212,.333,.475,.808,117,.345,115,229,8,6,0,6,4,*5D/H,,muncyma01
90,Jeimer Candelario#,29,2TM,NL,3.3,140,576,505,77,127,39,3,22,70,8,1,53,127,.251,.336,.471,.807,121,.353,123,238,11,13,0,4,1,*53/DH,,candeje01
90,Jeimer Candelario#,29,WSN,NL,3.1,99,419,368,57,95,30,2,16,53,6,1,36,88,.258,.342,.481,.823,126,.360,129,177,10,12,0,2,1,5/D,,candeje01
90,Jeimer Candelario#,29,CHC,NL,0.2,41,157,137,20,32,9,1,6,17,2,0,17,39,.234,.318,.445,.764,108,.334,107,61,1,1,0,2,0,35/DH,,candeje01
91,Isaac Paredes,24,TBR,AL,4.2,143,571,492,71,123,24,0,31,98,1,0,58,104,.250,.352,.488,.840,130,.367,135,240,11,20,0,1,0,*534/HD6,MVP-18,paredis01
92,Cal Raleigh#,26,SEA,AL,3.4,145,569,513,78,119,23,1,30,75,0,0,54,158,.232,.306,.456,.762,114,.331,116,234,6,1,0,1,1,*2HD,MVP-18,raleica01
93,James Outman*,26,LAD,NL,3.4,151,567,483,86,120,16,3,23,70,16,3,68,181,.248,.353,.437,.790,114,.349,114,211,4,12,0,4,1,*87/H9D,ROY-3,outmaja01
94,Austin Hays,27,BAL,AL,2.5,144,566,520,76,143,36,2,16,67,5,1,38,141,.275,.325,.444,.769,114,.330,111,231,11,3,0,5,1,*7/89HD,AS,haysau01
95,DJ LeMahieu,34,NYY,AL,1.3,136,562,497,55,121,22,3,15,44,2,2,60,125,.243,.327,.390,.718,96,.315,96,194,14,3,0,2,2,53/4HD,,lemahdj01
96,Keibert Ruiz#,24,WSN,NL,1.4,136,562,523,55,136,24,0,18,67,1,1,31,58,.260,.308,.409,.717,98,.314,98,214,13,6,0,2,1,*2D/H,,ruizke01
97,Cody Bellinger*,27,CHC,NL,4.8,130,556,499,95,153,29,1,26,97,20,6,40,87,.307,.356,.525,.881,139,.382,141,262,7,5,0,12,3,83/DH,MVP-10SS,bellico01
98,TJ Friedl*,27,CIN,NL,3.6,138,556,488,73,136,22,8,18,66,27,6,47,90,.279,.352,.467,.819,117,.363,119,228,0,10,8,3,1,*87H/9D,MVP-23,friedtj01
99,Trent Grisham*,26,SDP,NL,1.8,153,555,469,67,93,31,1,13,50,15,3,75,154,.198,.315,.352,.666,84,.309,89,165,7,5,4,1,0,*8/H,,grishtr01
100,Will Smith,28,LAD,NL,4.1,126,554,464,80,121,21,2,19,76,3,0,63,89,.261,.359,.438,.797,116,.349,116,203,8,15,0,12,2,*2D/H,AS,smithwi05
101,Leody Taveras#,24,TEX,AL,2.9,143,554,511,67,136,31,3,14,67,14,4,35,117,.266,.312,.421,.733,101,.321,100,215,3,1,3,4,0,*8/HD,,taverle01
102,Hunter Renfroe,31,2TM,2LG,-0.5,140,548,498,60,116,31,0,20,60,0,0,44,125,.233,.297,.416,.713,92,.311,91,207,15,3,0,3,0,*9H/D3,,renfrhu01
102,Hunter Renfroe,31,LAA,AL,0.1,126,504,459,56,111,31,0,19,56,0,0,39,113,.242,.304,.434,.737,99,.321,98,199,15,3,0,3,0,*9/H3,,renfrhu01
102,Hunter Renfroe,31,CIN,NL,-0.6,14,44,39,4,5,0,0,1,4,0,0,5,12,.128,.227,.205,.432,17,.206,10,8,0,0,0,0,0,/D9H,,renfrhu01
103,Javier Báez,30,DET,AL,0.8,136,547,510,58,113,18,4,9,59,12,0,24,125,.222,.267,.325,.593,63,.275,65,166,12,9,0,3,0,*6/DH,,baezja01
104,J.D. Davis,30,SFG,NL,0.9,144,546,480,61,119,23,1,18,69,1,0,52,152,.248,.325,.413,.738,104,.326,106,198,16,6,0,6,0,*5H3D,,davisjd01
105,Bryce Harper*,30,PHI,NL,3.6,126,546,457,84,134,29,1,21,72,11,3,80,119,.293,.401,.499,.900,145,.387,144,228,10,5,0,4,8,D3/H,MVP-12SS,harpebr03
106,Amed Rosario,27,2TM,2LG,0.4,142,545,510,70,134,25,8,6,58,15,2,29,99,.263,.305,.378,.683,87,.304,85,193,15,3,0,3,0,64H/D,,rosaram01
106,Amed Rosario,27,CLE,AL,-0.3,94,412,385,51,102,19,6,3,40,9,0,22,77,.265,.306,.369,.675,86,.299,82,142,11,2,0,3,0,6/HD,,rosaram01
106,Amed Rosario,27,LAD,NL,0.8,48,133,125,19,32,6,2,3,18,6,2,7,22,.256,.301,.408,.709,91,.319,93,51,4,1,0,0,0,46H/D,,rosaram01
107,J.T. Realmuto,32,PHI,NL,3.5,135,540,489,70,123,28,5,20,63,16,5,35,138,.252,.310,.452,.762,105,.339,109,221,10,9,0,5,3,*2/H,,realmjt01
108,Jake Burger,27,2TM,2LG,2.5,141,540,492,71,123,28,1,34,80,1,1,32,149,.250,.309,.518,.828,119,.354,121,255,4,12,0,4,0,5D/H34,,burgeja01
108,Jake Burger,27,CHW,AL,1.4,88,323,294,44,63,15,1,25,52,1,1,22,102,.214,.279,.527,.806,115,.344,117,155,3,5,0,2,0,5D/H34,,burgeja01
108,Jake Burger,27,MIA,NL,1.0,53,217,198,27,60,13,0,9,28,0,0,10,47,.303,.355,.505,.860,125,.370,126,100,1,7,0,2,0,5/D,,burgeja01
109,Michael Harris II*,22,ATL,NL,3.5,138,539,505,76,148,33,3,18,57,20,4,25,101,.293,.331,.477,.808,116,.351,114,241,8,5,1,3,1,*8/H,,harrimi04
110,Corey Seager*,29,TEX,AL,7.2,119,536,477,88,156,42,0,33,96,2,1,49,88,.327,.390,.623,1.013,174,.419,172,297,9,4,0,6,9,*6/D,ASMVP-2SS,seageco01
111,Jack Suwinski*,24,PIT,NL,2.1,144,534,447,63,100,21,2,26,74,13,2,75,172,.224,.339,.454,.793,113,.349,113,203,2,6,0,6,2,*897H/D,,suwinja01
112,Orlando Arcia,28,ATL,NL,1.7,139,533,488,66,129,25,0,17,65,1,0,39,102,.264,.321,.420,.741,99,.325,98,205,14,3,0,3,0,*6/H,AS,arciaor01
113,Thairo Estrada,27,SFG,NL,2.5,120,530,495,63,134,26,2,14,49,23,7,22,120,.271,.315,.416,.731,102,.325,103,206,10,11,0,2,1,46/7D,,estrath01
114,Matt Vierling,26,DET,AL,1.5,134,530,479,63,125,21,5,10,44,6,6,44,112,.261,.329,.388,.717,98,.316,100,186,8,5,1,1,1,*9758H/4,,vierlma01
115,Jonathan India,26,CIN,NL,1.3,119,529,454,78,111,23,0,17,61,14,2,52,109,.244,.338,.407,.746,98,.337,101,185,13,16,0,7,0,4D/H,,indiajo01
116,Tommy Edman#,28,STL,NL,2.1,137,528,479,69,119,25,4,13,47,27,4,35,84,.248,.307,.399,.705,91,.319,90,191,9,7,3,4,1,468/9H,,edmanto01
117,Elias Díaz,32,COL,NL,1.5,141,526,486,48,130,25,1,14,72,1,0,34,118,.267,.316,.409,.725,87,.323,88,199,12,2,0,4,0,*2H/D,AS,diazel01
118,Brent Rooker,28,OAK,AL,2.0,137,526,463,61,114,20,1,30,69,4,0,49,172,.246,.329,.488,.817,127,.351,127,226,11,10,0,4,1,D97H,AS,rookebr01
119,Ke'Bryan Hayes,26,PIT,NL,3.9,124,525,494,65,134,31,7,15,61,10,6,28,104,.271,.309,.453,.762,103,.324,99,224,11,0,0,3,1,*5/DH,GG,hayeske01
120,Tim Anderson,30,CHW,AL,-1.8,123,524,493,52,121,18,2,1,25,13,2,26,122,.245,.286,.296,.582,62,.263,56,146,15,3,0,2,0,*6/H4,,anderti01
121,Brandon Drury,30,LAA,AL,2.0,125,523,485,61,127,30,3,26,83,0,2,25,136,.262,.306,.497,.803,114,.339,113,241,14,8,0,5,0,43/DH,,drurybr01
122,Jake Cronenworth*,29,SDP,NL,0.8,127,522,458,54,105,24,7,10,48,6,1,46,97,.229,.312,.378,.689,89,.306,88,173,8,11,1,5,2,34/H,,croneja01
123,Jurickson Profar#,30,2TM,NL,-1.2,125,521,459,55,111,27,2,9,46,1,0,50,90,.242,.321,.368,.689,81,.307,78,169,11,6,0,5,0,7DH/394,,profaju01
123,Jurickson Profar#,30,COL,NL,-1.6,111,472,415,51,98,25,2,8,39,1,0,45,86,.236,.316,.364,.680,77,.304,74,151,9,6,0,5,0,7D/H,,profaju01
123,Jurickson Profar#,30,SDP,NL,0.4,14,49,44,4,13,2,0,1,7,0,0,5,4,.295,.367,.409,.776,115,.343,116,18,2,0,0,0,0,/73H94D,,profaju01
124,LaMonte Wade Jr.*,29,SFG,NL,2.8,135,519,429,64,110,14,2,17,45,2,0,76,95,.256,.373,.417,.790,120,.355,126,179,4,6,4,4,3,*3H7/9D8,,wadela01
125,Zach McKinstry*,28,DET,AL,1.3,148,518,464,60,107,21,4,9,35,16,6,44,113,.231,.302,.351,.654,81,.296,83,163,3,5,2,3,0,549H67/8D1,,mckinza01
126,Myles Straw,28,CLE,AL,0.9,147,518,462,52,110,18,3,1,29,20,6,42,97,.238,.301,.297,.597,67,.275,66,137,10,2,6,6,0,*8/H,,strawmy01
127,Tyler Stephenson,26,CIN,NL,0.6,142,517,465,59,113,20,2,13,56,0,1,47,135,.243,.317,.378,.696,85,.318,91,176,16,4,0,1,2,2DH/3,,stephty01
128,Eddie Rosario*,31,ATL,NL,1.2,142,516,478,64,122,24,3,21,74,3,4,34,122,.255,.305,.450,.755,101,.324,100,215,13,1,1,2,1,*7DH,,rosared01
129,Maikel Garcia,23,KCR,AL,1.1,123,515,464,59,126,20,4,4,50,23,7,38,115,.272,.323,.358,.681,86,.305,85,166,9,2,1,10,0,56/D4H,,garcima01
